GL445085.1,642,280,642,642,280,642,642,280,642
GL445086.1,220,53,220,220,53,220,220,53,220
GL445087.1,756,263,756,756,263,756,756,263,756
GL445088.1,2982,1136,2982,1000,354,1000,1000,304,1000
GL445089.1,696,323,696,696,323,696,696,323,696
GL445090.1,659,169,659,659,169,659,659,169,659
GL445091.1,279,84,279,279,84,279,279,84,279
GL445092.1,235,69,235,235,69,235,235,69,235
GL445093.1,9790,3594,11258,1000,649,1000,1000,393,1000
GL445094.1,307,107,307,307,107,307,307,107,307
GL445095.1,696,292,696,696,292,696,696,292,696
GL445096.1,339,87,339,339,87,339,339,87,339
GL445097.1,445,246,445,445,246,445,445,246,445
GL445098.1,502,270,563,502,270,563,502,270,563
GL445099.1,627,149,627,627,149,627,627,149,627
GL445100.1,313,112,313,313,112,313,313,112,313
GL445101.1,778,472,778,778,472,778,778,472,778
GL445102.1,345,195,345,345,195,345,345,195,345
GL445103.1,449,141,449,449,141,449,449,141,449
GL445104.1,13682,5596,14525,1000,418,1000,1000,356,1000
GL445105.1,69673,26146,81956,1000,329,1000,1000,384,1000
GL445106.1,204,67,204,204,67,204,204,67,204
GL445107.1,366,247,366,366,247,366,366,247,366
GL445108.1,666,386,666,666,386,666,666,386,666
GL445109.1,408,122,408,408,122,408,408,122,408
GL445110.1,510,297,510,510,297,510,510,297,510
GL445111.1,506,244,506,506,244,506,506,244,506
GL445112.1,509,178,509,509,178,509,509,178,509
GL445113.1,231,101,231,231,101,231,231,101,231
GL445114.1,622,218,622,622,218,622,622,218,622
GL445115.1,681,237,681,681,237,681,681,237,681
GL445116.1,418,85,418,418,85,418,418,85,418
GL445117.1,281,98,281,281,98,281,281,98,281
GL445118.1,6244,2754,7134,1000,522,1000,1000,342,1000
GL445119.1,1121,308,1314,868,248,1000,807,209,1000
GL445120.1,283,98,283,283,98,283,283,98,283
GL445121.1,19177,11565,22181,1000,479,1000,1000,502,1000
GL445122.1,343,95,343,343,95,343,343,95,343
GL445123.1,467,137,467,467,137,467,467,137,467
GL445124.1,458,188,572,458,188,572,458,188,572
GL445125.1,423,244,423,423,244,423,423,244,423
GL445126.1,620,151,620,620,151,620,620,151,620
GL445127.1,948,270,948,948,270,948,948,270,948
GL445128.1,2520,1299,2520,1000,597,1000,1000,467,1000
GL445129.1,44940,23563,50020,960,348,1000,1000,402,1000
GL445130.1,839132,414919,854681,958,311,1000,1000,423,1000
GL445131.1,82681,36334,86400,1000,324,1000,1000,465,1000
GL445132.1,214,67,214,214,67,214,214,67,214
GL445133.1,248,104,248,248,104,248,248,104,248
GL445134.1,368,136,368,368,136,368,368,136,368
GL445135.1,92605,37821,94272,959,400,1000,208,63,1000
GL445136.1,201,71,201,201,71,201,201,71,201
GL445137.1,210,91,210,210,91,210,210,91,210
GL445138.1,141111,64262,154165,1000,623,1000,1000,355,1000
GL445139.1,390,142,390,390,142,390,390,142,390
GL445140.1,22532,8024,25683,757,364,1000,1000,326,1000
GL445141.1,9553,4810,9553,1000,345,1000,1000,417,1000
GL445142.1,23097,8690,24076,1000,347,1000,1000,396,1000
GL445143.1,452,93,452,452,93,452,452,93,452
GL445144.1,275,80,275,275,80,275,275,80,275
GL445145.1,962160,415985,985979,919,323,1000,1000,353,1000
GL445146.1,2494,1449,2494,1000,627,1000,1000,546,1000
GL445147.1,446885,199218,458914,848,389,1000,882,386,1000
GL445148.1,249,84,249,249,84,249,249,84,249
GL445149.1,314,80,314,314,80,314,314,80,314
GL445150.1,962,482,2490,317,175,1000,645,307,1000
GL445151.1,438,187,438,438,187,438,438,187,438
GL445152.1,30043,11486,35502,1000,423,1000,922,350,1000
GL445153.1,6893,3233,12168,1000,493,1000,666,416,1000
GL445154.1,725,280,725,725,280,725,725,280,725
GL445155.1,257,115,257,257,115,257,257,115,257
GL445156.1,467,152,467,467,152,467,467,152,467
GL445157.1,1159,598,1159,1000,538,1000,1000,501,1000
GL445158.1,543,267,543,543,267,543,543,267,543
GL445159.1,194539,97377,196972,1000,446,1000,1000,575,1000
GL445160.1,208,77,208,208,77,208,208,77,208
GL445161.1,22179,7826,25343,1000,463,1000,1000,393,1000
GL445162.1,830,289,830,830,289,830,830,289,830
GL445163.1,2534,781,2534,1000,310,1000,1000,334,1000
GL445164.1,991,528,991,991,528,991,991,528,991
GL445165.1,3548,1823,5620,1000,461,1000,1000,554,1000
GL445166.1,597,238,597,597,238,597,597,238,597
GL445167.1,836,505,836,836,505,836,836,505,836
GL445168.1,396,186,396,396,186,396,396,186,396
GL445169.1,518,175,518,518,175,518,518,175,518
GL445170.1,1879,803,1879,1000,416,1000,1000,439,1000
GL445171.1,454,170,454,454,170,454,454,170,454
GL445172.1,375,200,375,375,200,375,375,200,375
GL445173.1,1155,473,1155,1000,415,1000,1000,431,1000
GL445174.1,4859,2848,6675,1000,595,1000,1000,568,1000
GL445175.1,369,227,369,369,227,369,369,227,369
GL445176.1,354,112,354,354,112,354,354,112,354
GL445177.1,316,87,316,316,87,316,316,87,316
GL445178.1,205,71,205,205,71,205,205,71,205
GL445179.1,423,116,423,423,116,423,423,116,423
